"asset_id","path","source_type","license","author","generated_utc","generator","notes"
"characters/boots/walk_01","assets/sfx/characters/boots/walk_01.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.walk.v1; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/walk_02","assets/sfx/characters/boots/walk_02.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.walk.v2; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/walk_03","assets/sfx/characters/boots/walk_03.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.walk.v3; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/walk_04","assets/sfx/characters/boots/walk_04.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.walk.v4; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/run_01","assets/sfx/characters/boots/run_01.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.run.v1; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/run_02","assets/sfx/characters/boots/run_02.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.run.v2; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/run_03","assets/sfx/characters/boots/run_03.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.run.v3; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/run_04","assets/sfx/characters/boots/run_04.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.run.v4; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/crouch_01","assets/sfx/characters/boots/crouch_01.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.crouch.v1; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
"characters/boots/crouch_02","assets/sfx/characters/boots/crouch_02.wav","procedural","Project-original","Voxel Frontline audio generator","2026-09-08T08:33:12.968Z","scripts/audio-gen/generate-sfx.js","physical-model v2; family=boot.crouch.v2; layers=heelFriedlander+soilBrown+gravelGrains+rubberTransient; peakLimit=0.82 lookahead-limiter; no oscillator beds / no commercial game assets"
